GAME ID;GAME NAME; COMPANY ID;DESCRIPTION;MINIMUM REQUIREMENTS;RECOMMENDED REQUIREMENTS
0;Assassin's Creed Odyssey;0;Set in 431 BC during the Pelopenesian War, play as either a male or female mercenary as you embark on your own epic odyssey to become a legendary Spartan hero in a world where every choice matters.;Intel Core i3-8100, MSI B450 TOMAHAWK MAX, 16 GB DDR4, NVIDIA RTX 2060;Intel Core i9-9900K, ASRock B450M-HDV R4.0, 16 GB DDR4, AMD Radeon RX 5700
1;Rainbow Six Siege;0;A team of soldiers and militarists are recruited into an elite counter terrorism unit. Their objective is to fight terrorism across the globe. A threat has emerged that targets the Western world and its interests around the world.;AMD Ryzen 9 3900X, Gigabyte B450 AORUS M, 16 GB DDR4, AMD Radeon RX 5700 XT;AMD Ryzen 9 3900X, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, NVIDIA RTX 2060
2;Far Cry 5;0;A deputy is sent to the town of Hope County to arrest Joseph Seed, a corrupt evangelical religious leader who rules the town with the help of his disturbed followers.;Intel Core i9-9900K, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, NVIDIA GTX 1660 Ti;AMD Ryzen 5 3600, MSI B450 TOMAHAWK MAX, 32 GB DDR4, AMD Radeon RX 5700 XT
3;Watch Dogs 2;0;In San Francisco, hacker Marcus Holloway joins DedSec, to take down a corrupt system by fighting and hacking his way through the entire San Francisco Bay.;Intel Core i3-8100, ASRock B450M-HDV R4.0, 8 GB DDR4, AMD Radeon RX 5700 XT;Intel Core i7-9700K, ASRock B450M-HDV R4.0, 64 GB DDR4, NVIDIA GTX 1660 Ti
4;The Division 2;0;Set shortly after the first game's virus outbreak which wiped out large amounts of the population. This time however, the game is set in the somewhat sunnier Washington D.C and is focused on the rebuilding of society.;AMD Ryzen 7 3700X, MSI B450 TOMAHAWK MAX, 64 GB DDR4, AMD Radeon RX 590;AMD Ryzen 9 3900X, MSI B450 TOMAHAWK MAX, 64 GB DDR4, AMD Radeon RX 570
5;Apex Legends;1;Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.;AMD Ryzen 9 3900X, ASUS ROG STRIX B450-F GAMING, 16 GB DDR4, NVIDIA GTX 1050 Ti;AMD Ryzen 9 3900X, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, NVIDIA GTX 1660 Ti
6;FIFA 21;1;28th installment in the FIFA series, introducing Ultimate Team, which features 100 icon players, Career Mode with new additions, and more.;AMD Ryzen 7 3700X, ASUS TUF B450-PLUS GAMING, 64 GB DDR4, AMD Radeon RX 590;Intel Core i5-9400F, MSI B450 TOMAHAWK MAX, 32 GB DDR4, AMD Radeon RX 5700
7;Star Wars Jedi: Fallen Order;1;Set shortly after Revenge of the Sith, the player takes on the role of a Jedi padawan being hunted by the Empire after Order 66.;AMD Ryzen 5 3600, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 5700;Intel Core i5-9400F, ASRock B450M-HDV R4.0, 8 GB DDR4, NVIDIA RTX 2070 Super
8;The Sims 4;1;Fourth main game in the real-time life simulation / management series, with an expanded character creation process.;AMD Ryzen 3 1200, MSI B450 GAMING PLUS MAX, 64 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i9-9900K, MSI B450 GAMING PLUS MAX, 64 GB DDR4, NVIDIA GTX 1660 Ti
9;Battlefield V;1;Enter mankind's greatest conflict with Battlefield V as the series goes back to its roots with a never-before-seen portrayal of World War 2.;AMD Ryzen 3 1200, ASRock B450M-HDV R4.0, 64 GB DDR4, NVIDIA RTX 2070 Super;Intel Core i9-9900K, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 5700
10;Counter-Strike: Global Offensive;2;A first person shooter game depicting death matches between terrorists and counter-terrorists.;AMD Ryzen 9 3900X, MSI B450 GAMING PLUS MAX, 32 GB DDR4, NVIDIA GTX 1050 Ti;AMD Ryzen 9 3900X, MSI B450 TOMAHAWK MAX, 32 GB DDR4, NVIDIA GTX 1660 Ti
11;Dota 2;2;A crystalline satellite enters the planet's orbit, and the raw energies of the Radiant and Dire attracted creatures of different alignments and unified under these factions, the battles of Dota would commence.;AMD Ryzen 3 1200, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA RTX 2070 Super;AMD Ryzen 5 3600, MSI B450 TOMAHAWK MAX, 16 GB DDR4, NVIDIA GTX 1050 Ti
12;Half-Life: Alyx;2;A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.;AMD Ryzen 7 3700X, Gigabyte B450 AORUS M, 64 GB DDR4, NVIDIA GTX 1050 Ti;AMD Ryzen 3 1200, ASRock B450M-HDV R4.0, 64 GB DDR4, AMD Radeon RX 5700 XT
13;Portal 2;2;"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLaDOS once again with the help of Wheatley, who has his own plans for the historical facility.";AMD Ryzen 7 3700X, ASRock B450M-HDV R4.0, 16 GB DDR4, AMD Radeon RX 5700 XT;AMD Ryzen 7 3700X, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, AMD Radeon RX 590
14;Left 4 Dead 2;2;Four new survivors must make their way across the American South while surviving a zombie apocalypse.;AMD Ryzen 3 1200, ASUS TUF B450-PLUS GAMING, 32 GB DDR4, NVIDIA GTX 1660 Ti;Intel Core i5-9400F, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 570
15;Grand Theft Auto V;3;Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.;AMD Ryzen 7 3700X, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA GTX 1660 Ti;Intel Core i7-9700K, ASRock B450M-HDV R4.0, 64 GB DDR4, AMD Radeon RX 5700 XT
16;Red Dead Redemption 2;3;Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.;Intel Core i3-8100, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA GTX 1050 Ti;AMD Ryzen 7 3700X, ASUS TUF B450-PLUS GAMING, 64 GB DDR4, AMD Radeon RX 5700 XT
17;Bully: Scholarship Edition;3;A troubled teen is dropped off at the worst school in the country and must survive by rising through the rankings of the school system.;AMD Ryzen 3 1200, ASUS TUF B450-PLUS GAMING, 64 GB DDR4, AMD Radeon RX 590;AMD Ryzen 9 3900X, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA RTX 2060
18;Max Payne 3;3;The ex-cop turned private security guard for a wealthy family in Sao Paulo, Brazil finds himself thrown into a new deadly conflict.;Intel Core i5-9400F, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, AMD Radeon RX 5700;Intel Core i7-9700K, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, AMD Radeon RX 5700
19;L.A. Noire;3;Cole Phelps, a war hero and rookie cop, moves up the ranks and solves dark cases in 1940s Los Angeles.;AMD Ryzen 3 1200, ASUS TUF B450-PLUS GAMING, 64 GB DDR4, NVIDIA RTX 2060;AMD Ryzen 3 1200, ASUS TUF B450-PLUS GAMING, 32 GB DDR4, AMD Radeon RX 570
