;COMPANY;GAME;COMMENTARY TITLE;COMMENTARY;RATE;DATE;GENERAL OPINION ABOUT THE COMMENTARY
0;Unity Technologies;Cuphead;A Cup of Tea that has Turned into a Mug;"I remember when I first saw this game on TV when the Xbox One was first revealed. When this game flashed on screen during an ID@Xbox show reel, I became interested in an instant. That was back in 2013, and skip forward a few years later, I have yet to buy an Xbox One or any of the ""exclusives,"" even when most of them are on PC. That changed when this game FINALLY released, and the best part is, the wait is worth it.Now, before I get too deep into the gameplay, I have to say that unlike most journalists in the field these days, I'm not gonna do the idiotic ""#Cup Souls"" thing or even compare this game to Dark Souls in the slightest. While Dark Souls can be challenging, a more accurate comparison is most likely an NES game, which can actually be more difficult. Just like a NES game, more precisely Contra, it's an easy-to-play Run-N-Gun game, thanks to the simple tutorial that only a certain game journalist would find hard, that becomes hard thanks to ever spawning enemies and projectiles everywhere. Luckily, the game is still fair, and it even feels rewarding beating the bosses in the game, which is mostly what the game is. The controls are tight and responsive, though I have changed the dash to the Right Trigger for better access, and never have I felt like they were fighting against me. Back to the bosses, though, they will give you a beat down. We're talking about bosses that will fill the screen with projectiles and enemies, and they will require your whole attention span and quick thumbs to beat them. This game is a great time, solo or co-op, but if you're not a fan of hard games, it won't be for you.Now, for the one thing it quickly got attention for, the graphics. Seriously, we can gush over a game for having the most ""ULTRA-REALISTIC"" graphics, but I find this game to have the most impressive graphics I've ever seen. This game sets out to emulate the look of the 1930s cartoons, and it emulates it to a T. The game sprites run at 24 fps, just like the cartoons of old, but still provides a rock solid 60 fps during gameplay, except for some very rare frame dips. The music and sound also adds to the graphics as well with the soundtracks mix of jazz and ragtime (if you don't believe me, just look up ""Dice King theme"" on YouTube), and you can even hear crackling sounds during the quiet times.Overall, this a hard, yet awesome game that emulates the aesthetic perfectly. If you have an Xbox One, this game is a must-have, and even if you're getting the game on PC, which you have a choice of getting it from Steam, GOG, or Microsoft Store if you want the ""Play Anywhere"" version, this game can pretty much run on a toaster.";10/10;8 October 2017;16 out of 18 found this helpful.
1;Unity Technologies;Cuphead;You could say this game is my cup of tea.;Cuphead is brilliant, it is the pinnacle of indie gaming. Different aspects make this a master piece. Recently with indie games there have been a fair share of absolutely shocking and poor games. I feel like recently trying to find a good cheap indie game is like searching for a diamond ring in a metric tonne of pig crap. Cuphead is this ring and I'm wearing it proudly.The first aspect that makes this brilliant is the visuals. The old Disney inspired visuals get me excited. They have that nice old Disney feel and definitely are made by the attention to detail (Cupheads little gloves are adorable). The map you walk around to get to each level is very nice, it may be a little simple to begin with but as you progressive, boy does it look good.The second aspect I love about it is the sound track, can't really describe it, go listen to it yourself on YouTube. It has a nice classic sounds to it. I wouldn't listen to it on my bus journey but it does add to the atmosphere of the gameWorth a buy, do it immediately, wont regret it!Joe Beaumont;10/10;16 October 2017;12 out of 14 found this helpful.
2;Unity Technologies;Cuphead;'A Great Slam and Then Some!';Cuphead is a slice of video game heaven and surprisingly appealing piece of animation gold. Having been in development for the better part of a decade, Cuphead burst onto the video game market just in 2017, and it's resulted in a resurgence in the internet's love for 'The Golden Age of Animation' and the works of the great Max Fleischer. Does the game emulate those cartoons of a bygone era pre-dating World War Two? Yes. It absolutely does just that and then some! Yes the game's frustrating for newcomers to the run and gun genre but the sense of gratification and accomplishment you get from beating any one of the bosses in-game is incredible.This game takes pages from gaming classics like MegaMan, Super Mario Brothers, Super Mario World and even Contra. it even pays homage to 'toon classics like Popeye, Betty Boop, Disney shorts from the 20s and 30s, has nods to the Looney Tunes shorts, and even Tom & Jerry. Cuphead is a masterclass in 'cultural remixing', fusing video games and animation into the perfect combo package. What is there not to like about something that has THIS many callbacks while being its own thing as well?Cuphead is a game for the ages and will introduce newcomers to the run-and-gun genre, as well as persuade some people to play MegaMan sometime in the future.;10/10;29 January 2018;8 out of 10 found this helpful.
3;Unity Technologies;Cuphead;One of the best Arcade titles of the 8th Generation 9/10;"Cuphead has been a massive long time coming But, finally arrived for XBox One and The PC I'm not going to over sell this game to anyone It is absolutely a amazing accomplishment in where gaming has gone since the days of the seedy arcades and Atari 2600 But, It does have a elephant size negative against itGraphics Flawless there is nothing and i mean nothing like this that's been out there (Besides the handful of Laserdisc arcade title from the 80's) More games need to be like this it's pure Art in motion The animation is a sight to see Audio: much like the art style is frozen in the 1930's this too is a sight to hear The art style and audio presentation make this game feel old but, at the same time it's also refreshing and new The Story is better then i would've ever guessed Not even going to spoil it while it's nothing life changing it's very slick and works for this time period it's set in The only real negative (The difficulty is over the top brutal) If you have young kids save your money buy Raymen, Yooka-Laylee, or even Ori and The Blind Forest This game will make any kid cry...... or break a expensive controller The game is too ""hard"" I'm not sure why the developers didn't even add a difficulty option I've played some brutal games growing up but, this is on a whole new level of being hard for the sake of being hard This is going to turn a lot of gamers off and if you plan on going all in (pick up a glass make a swear jar) you'll going to need the money in the jar after you break your controller from anger or just the massive abuse the controller takes) No matter what if and when you finish the game you're controller will be bruised and beaten much like youIf you want a relentless challenge you'll dig this game If you are unsure try and play the demo to get a feel for what's in store for you If the game wasn't so stacked against the player I'd give the game a 10/10 But, it's to hard as a kid i loved Ghost and Goblins and Ghouls and Ghosts (Beat both games) this is harder then Ghost and Goblins in my opinion so it gets a 9/10";9/10;9 October 2017;4 out of 6 found this helpful.
4;Unity Technologies;Cuphead;Very Fun Game;Cuphead mixes the classic feel of the 30's with platforming brilliantly.;10/10;17 June 2019;4 out of 6 found this helpful.
5;Unity Technologies;Cuphead;Buy it.;"On September 29, 2017, a small, indie game developing company Studio MDHR released ""Cuphead"", a widely loved shmup/platformer that was not only a love letter to fans of classic early cartoons of the 1930's, but also a throwback to the insanely difficult side-scrolling games of the '80s and '90s, such as ""Contra"" and ""Astyanax"".I love ""Cuphead"", absolutely love it - it's not just my favorite video game of this decade this far, but one of my favorite all-time video games, period. I bought it for Easter this year on the Nintendo Switch and I've played it to death ever since. I'm absolutely in love with it.The game is undoubtedly a masterpiece of not just video gaming, but also animation - it is an absolute delight, from its stunning hand-drawn visuals and beautiful watercolor backgrounds that feel right out of an early Disney animation, to its catchy and upbeat jazz scores that accompany the levels that become more intense as the levels themselves get increasingly difficult, to its difficulty that encourages you to continue and try harder rather than just give up.If you like classic side-scrolling platformer/fighting games, buy this game. You won't be disappointed.";10/10;9 July 2019;4 out of 6 found this helpful.
6;Unity Technologies;Cuphead;When nostalgy and gaming experience collides;"This game is an awesome retro-adventure, in a very exciting way. Game is 100% ""focus on details"" high-quality, a true journey to the 30's, The music the animations and the effects will influence your mood in a good way.It would require above-average skills with similar video-games, most likely a few levels would be a little headache for even an experienced gamer , however some people would like to tag this production as a ""rage-game"", at some level it appears to be true.You will need all of your skills to beat the bosses that's for sure.";Not Informed;7 November 2017;4 out of 7 found this helpful.
7;Unity Technologies;Cuphead;A Cupful of Fun;"I'm a fan of the run and gun subgenere and a fan of animation, like any good brew mixed it makes a nice cup of tea. This is the kind of game I honestly never thought would happen in a million years and I'm glad someone finally had the guts to make something like this.There nothing to say to much in plot which by it's nature is really a clothesline for the action which is common for every run in gun game, nor anything to say in it's format which isn't anything I haven't seen already in the run and gun subgenere. but what makes this game stick out is in both visual presentation and execution in action.The visual animation in this game is just fantastic, it really looks like a lost cartoon from a bygone era. Obviously inspired by the animation shorts from Max Fletcher, Popeye, Disney, and many more. each of the scenes from the game down to the character animation could even go into a art galary. However the visuals truly exceed in created a weard and wacky cartoon world, it a world that just a visual buffet, the word normal doesn't exist. So much happens and so many things you just discover that would make you think ""What the Frak?"" but at the same time be amazed that you just want to see more. Music in the game is also really good, it really fits the nature of this game as this kind of music was in the old cartoon shorts. most of the music is composed of old orchastratic and piano tunes and old jazz.But it's of course the gameplay that to me really is the best thing about the game. You do have the typical run and gun aspect however what makes this unique is the fact that most of this game consists highly of boss battles divided into three or four stages. I really love this, it's sort of a mix of both the run and gun and fighting game genere which is something I don't see often except in the game ""Contra: Shattered Soilder"". Just like in the fighting games you always trying to beat your current opponent, just to get to the next one to deliver a beat down.It's kinda the same principle here but with the run and gun principles mixed in. Like in the fighting games you can't expect to beat your opponent completely. also like in the run and gun's you can't expect to get it right the first time, which is why like in both those games your going to see yourself die again and again. However don't fret about it, where there is a will there is a way and that way is preserverence. When you keep at it, you actually do get better and even discover the opponents aren't really that hard at all it just seems that way at first, but once you figure it all out then you can blow them away easy (well kinda). I really like the bosses and the boss fights. Each of the bosses are memorable it is just a colorful guest list. from a pirate that looks like Bluto from ""Popeye"", a giant Queen Bee that can perform magic and turn into a plane, a set of alcoholic drinks, a medusa mermaid etc. The boss fights are great because each of them are always something different mainly in format which consists of platform hoping, moving platform, contained area, shump segments, etc. This keeps the boss fights always fresh as each fight is always something different and unexpected, which causes you to make quick adjustments and utilize fresh tactics to winning. Two of my favorate boss fights are one in the theater against a crazed actress which I thought was cool since I'm an actor and theater is part of my speciality. though ironically fits the nature of the game since running plays always consist of change in scenes and acts. The other is a dial game where you parry the die and the dial moves you to a space that contains a boss, much like that board game level in the game ""Gunstar Heroes"".What also gives the game appeal is it's throwback factor for both animation and gaming. Just looking at the visuals it really threw me back to a time when I was a kid watching the cartoon shorts and having the time of my life. Same with gaming when I played with my NES or went to the arcade which consisted of a lot of hard games. I'm now an adult and playing this game just put me in touch with that inner child of mine and made me smile.Though this game might not be everyone's cup of tea, this game is more for vetern fans of run and gun games whom all know the risks coming to the teritory. If your a fan of run and gun and hard games and are looking for a chalange, this game is for you. if not then this game may not be your cup of tea.Cuphead is a cup filled with fun.Rating: 4 stars";10/10;20 December 2017;3 out of 5 found this helpful.
8;Unity Technologies;Cuphead;Never knew such a masterpiece could exist;This game literally has everything going for it. The 1930s art style is awesomely done in this game and the way the characters move remind me of those old Mickey Mouse cartoons that my parents would show me when I was little. The bosses in this game are wacky and cool looking, plus they are pretty challenging. Then we have that beautiful soundtrack that just fits this game so perfectly. There are also cool run and gun levels, awesome weapons and charms, and also pretty cool looking isles. This game is a masterpice, but just be warned that this game is no walk in a 1930s park.;10/10;3 May 2020;3 out of 5 found this helpful.
9;Unity Technologies;Cuphead;Somehow nostalgic;Though controller breaking frustrating, still charming with fun colorful visuals and catchy tunes. I was born in 2004, and yet this 1940's too somehow feels nostalgic. Favorite boss is the mermaid, and my favorite character was Werner Werman.;8/10;15 July 2019;3 out of 7 found this helpful.
