GAME ID;GAME NAME;GAME COMPANY ID;MINIMUM REQUIREMENTS; RECOMMENDED REQUIREMENTS
0;Assassin's Creed Odyssey;0;OS: Windows 10 (64bit versions only)Processor: AMD FX 6300 @ 3.8 GHz, Ryzen 3 - 1200, Intel Core i5 2400 @ 3.1 GHz (MORE DETAILS HERE)Memory: 8 GB RAMGraphics: AMD Radeon R9 285, NVIDIA GeForce GTX 660 (2GB VRAM with Shader Model 5.0) (MORE DETAILS HERE)DirectX: Version 11Storage: 46+ GB available spaceAdditional Notes: Video Preset: Lowest (720p);OS: Windows 10 (64bit versions only)Processor: AMD FX-8350 @ 4.0 GHz, Ryzen 5 - 1400, Intel Core i7-3770 @ 3.5 GHz or better (MORE DETAILS HERE)Memory: 8 GB RAMGraphics: AMD Radeon R9 290, NVIDIA GeForce GTX 970  (4GB VRAM with Shader Model 5.0) or better (MORE DETAILS HERE)Storage: 46+ GB available spaceAdditional Notes: Video Preset: High (1080p)
1;Rainbow Six Siege;0;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHzMemory: 6 GB RAMGraphics: NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM)Network: Broadband Internet connectionStorage: 61 GB available spaceSound Card: DirectX® 9.0c compatible sound card with latest driversAdditional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i5-2500K @ 3.3 GHz or better or AMD FX-8120 @ 3.1 Ghz or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) or AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X)Network: Broadband Internet connectionStorage: 61 GB available spaceSound Card: DirectX® 9.0c compatible sound card 5.1 with latest driversAdditional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.
2;Far Cry 5;0;Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit versions only)Processor: Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 670 or AMD R9 270 (2GB VRAM with Shader Model 5.0 or better)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 40 GB available spaceAdditional Notes: Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology, and Denuvo (https://www.denuvo.com/) and VMProtect (http://vmpsoft.com/support/user-manual/introduction/what-is-vmprotect/) anti-tamper technology.;Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit versions only)Processor: Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 40 GB available spaceAdditional Notes: Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology, and Denuvo (https://www.denuvo.com/) and VMProtect (http://vmpsoft.com/support/user-manual/introduction/what-is-vmprotect/) anti-tamper technology.
3;Watch Dogs 2;0;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i5 2400s @ 2.5 GHz, AMD FX 6120 @ 3.5 GHz or betterMemory: 6 GB RAMGraphics: NVIDIA GeForce GTX 660 with 2 GB VRAM or AMD Radeon HD 7870, with 2 GB VRAM or better - See supported List*Network: Broadband Internet connectionStorage: 27 GB available spaceSound Card: DirectX compatible using the latest driversAdditional Notes: Minimum specs above for 720p , 30+ FPS, Low graphic settings // Periphericals: Microsoft Xbox One Controller, DUALSHOCK® 4 Controller, Windows-compatible keyboard, mouse, optional controller / Multiplayer: 256 kbps or faster broadband connection / Note: This product supports 64-bit operating systems only. Laptop versions of these cards may work, but are not officially supported. For the most up-to-date requirement listings, please visit the FAQ on our support website at support.ubi.com.  High speed internet access and a valid Ubisoft account are required to activate the game after installation, to authenticate your system and continue gameplay after any re-activation, access online features, play online or unlock exclusive content. Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology and Denuvo (https://www.denuvo.com/) anti-tamper technology.;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: Intel Core i5 3470 @ 3.2 GHz, AMD FX 8120 @ 3.9 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780 | AMD Radeon R9 290, with 3GB VRAM or better - See supported List*Network: Broadband Internet connectionStorage: 27 GB available spaceSound Card: DirectX-compatible using the latest driversAdditional Notes: Recommended specs above for 1080p , 30+ FPS, High graphic settings // SUPPORTED VIDEO CARDS AT TIME OF RELEASE: • NVIDIA® GeForce® GTX600 Series: GTX660 or better / GeForce® GTX700 Series: GTX760 or better / GeForce® GTX900 Series: GTX950 or better / GeForce® GTX1000 Series: GTX1060 or better. • AMD Radeon™ HD 7000 series: Radeon™ HD7870 or better / Radeon™ 200 series: Radeon R9 270 or better / Radeon™ 300/Fury X series: Radeon™ R9 370 or better / Radeon 400 series: Radeon RX460 or better. Game contains EasyAntiCheat (https://www.easyanticheat.net/) anti-cheat technology and Denuvo (https://www.denuvo.com/) anti-tamper technology.
4;The Division 2;0;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: AMD FX 6350, Intel Core i5-2500K, or better (SSE 4.2 and AVX support required)Memory: 8 GB RAMGraphics: AMD R9 280X (3 GB), NVIDIA GeForce GTX 780 (3 GB with Shader Model 5.0+), or betterDirectX: Version 11Storage: 77 GB available space;OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OSProcessor: AMD Ryzen 5 1500x, Intel Core i7-4790, or better (SSE 4.2 and AVX support required)Memory: 8 GB RAMGraphics: AMD RX 480 (4 GB), NVIDIA GeForce GTX 970 (4 GB with Shader Model 6.0+), or betterDirectX: Version 12Storage: 77 GB available space
5;Apex Legends;1;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: AMD FX 4350 or Equivalent, Intel Core i3 6300 or EquivalentMemory: 6 GB RAMGraphics: AMD Radeon™ HD 7730, NVIDIA GeForce® GT 640DirectX: Version 11Network: Broadband Internet connectionStorage: 75 GB available spaceAdditional Notes: ~3.8GB for 1 localized language;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Ryzen 5 CPU or EquivalentMemory: 8 GB RAMGraphics: AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970DirectX: Version 11Network: Broadband Internet connectionStorage: 75 GB available spaceAdditional Notes: ~3.8GB for 1 localized language
7;Star Wars Jedi: Fallen Order;1;Requires a 64-bit processor and operating systemOS *: 64-bit Windows 7/8.1/10Processor: AMD FX-6100/Intel i3-3220 or EquivalentMemory: 8 GB RAMGraphics: AMD Radeon HD 7750, NVIDIA GeForce GTX 650 or EquivalentDirectX: Version 11Storage: 55 GB available space;Requires a 64-bit processor and operating systemOS *: 64-bit Windows 7/8.1/10Processor: AMD Ryzen 7 1700/Intel  i7-6700K or EquivalentMemory: 16 GB RAMGraphics: AMD RX Vega 56, Nvidia GTX 1070/GTX1660Ti or EquivalentDirectX: Version 11Storage: 55 GB available space
8;The Sims 4;1;Requires a 64-bit processor and operating systemOS: 64 Bit Required. Windows 10Processor: 3.3 GHz Intel Core i3-3220 (2 cores, 4 threads), AMD Ryzen 3 1200 3.1 GHz (4 cores) or betterMemory: 4 GB RAMGraphics: 128 MB of Video RAM and support for Pixel Shader 3.0. Supported Video Cards: NVIDIA GeForce 6600 or better, ATI Radeon X1300 or better, Intel GMA X4500 or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 26 GB available space;Requires a 64-bit processor and operating systemOS: 64 Bit Windows 10Processor: Intel core i5 (4 cores), AMD Ryzen 5 or betterMemory: 8 GB RAMGraphics: 1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 51 GB available space
9;Battlefield V;1;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: AMD FX-8350/ Core i5 6600KMemory: 8 GB RAMGraphics: NVIDIA GeForce® GTX 1050 / NVIDIA GeForce® GTX 660 2GB or AMD Radeon™ RX 560 / HD 7850 2GBDirectX: Version 11Storage: 50 GB available space;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10 or laterProcessor: AMD Ryzen 3 1300X/Intel Core i7 4790Memory: 12 GB RAMGraphics: NVIDIA GeForce® GTX 1060 6GB/AMD Radeon™ RX 580 8GBDirectX: Version 11Storage: 50 GB available space
10;Counter-Strike: Global Offensive;2;OS: Windows® 10Processor: 4 hardware CPU threads - Intel® Core™ i5 750 or higherMemory: 8 GB RAMGraphics: Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0DirectX: Version 11Storage: 85 GB available space;NOT INFORMED
11;Dota 2;2;OS *: Windows 7 or newerProcessor: Dual core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600DirectX: Version 11Network: Broadband Internet connectionStorage: 60 GB available spaceSound Card: DirectX Compatible ;NOT INFORMED
12;Half-Life: Alyx;2;Requires a 64-bit processor and operating systemOS: Windows 10Processor: Core i5-7500 / Ryzen 5 1600Memory: 12 GB RAMGraphics: GTX 1060 / RX 580 - 6GB VRAMVR Support: SteamVR;Requires a 64-bit processor and operating system
13;Portal 2;2;OS *: Windows 7 / Vista / XPProcessor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible ;NOT INFORMED
14;Left 4 Dead 2;2;OS *: Windows® 7 32/64-bit / Vista 32/64 / XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card;OS *: Windows® 7 32/64-bit / Vista 32/64 / XPProcessor: Intel core 2 duo 2.4GHzMemory: 2 GB RAMGraphics: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card
